title,date,time,location,category,description,keywords,source,event_id,is_future,is_online,day_of_week
Take a Break with Pawfficer Ham,2025-12-11,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,20,True,False,Thursday
Student Org Expo: Spring 2026 Event Reservations,2025-12-11,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,21,True,False,Thursday
Library extended hours in December,2025-12-11,12:00 pm - 5:00 pm,UIC Daley Library,Special event,"A special event event at UIC. Keywords: library, study, academic, hours","['library', 'study', 'academic', 'hours']",synthetic,22,True,False,Thursday
Hot Chocolate with the Chancellor,2025-12-16,12:30 pm - 1:30 pm,Student Center East,Special event,"A special event event at UIC. Keywords: social, networking, chancellor, student","['social', 'networking', 'chancellor', 'student']",synthetic,23,True,False,Tuesday
Digital Accessibility Training,2025-12-16,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,24,True,True,Tuesday
CRI Public Research Series: Medical Cannabis Competency Framework,2025-12-16,12:00 pm - 1:00 pm,Online,Lecture,"A lecture event at UIC. Keywords: research, medical, public health, presentation","['research', 'medical', 'public health', 'presentation']",synthetic,25,True,True,Tuesday
Digital Accessibility Training,2025-12-17,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,26,True,True,Wednesday
Online Managing Your Mood Workshop,2025-12-17,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,27,True,True,Wednesday
Take a Break with Pawfficer Ham,2025-12-17,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,28,True,False,Wednesday
Student Org Expo: Spring 2026 Event Reservations,2025-12-17,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,29,True,False,Wednesday
Online Managing Your Mood Workshop,2025-12-18,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,30,True,True,Thursday
Take a Break with Pawfficer Ham,2025-12-18,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,31,True,False,Thursday
Student Org Expo: Spring 2026 Event Reservations,2025-12-18,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,32,True,False,Thursday
Library extended hours in December,2025-12-18,12:00 pm - 5:00 pm,UIC Daley Library,Special event,"A special event event at UIC. Keywords: library, study, academic, hours","['library', 'study', 'academic', 'hours']",synthetic,33,True,False,Thursday
Hot Chocolate with the Chancellor,2025-12-23,12:30 pm - 1:30 pm,Student Center East,Special event,"A special event event at UIC. Keywords: social, networking, chancellor, student","['social', 'networking', 'chancellor', 'student']",synthetic,34,True,False,Tuesday
Digital Accessibility Training,2025-12-23,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,35,True,True,Tuesday
CRI Public Research Series: Medical Cannabis Competency Framework,2025-12-23,12:00 pm - 1:00 pm,Online,Lecture,"A lecture event at UIC. Keywords: research, medical, public health, presentation","['research', 'medical', 'public health', 'presentation']",synthetic,36,True,True,Tuesday
Digital Accessibility Training,2025-12-24,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,37,True,True,Wednesday
Online Managing Your Mood Workshop,2025-12-24,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,38,True,True,Wednesday
Take a Break with Pawfficer Ham,2025-12-24,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,39,True,False,Wednesday
Student Org Expo: Spring 2026 Event Reservations,2025-12-24,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,40,True,False,Wednesday
Online Managing Your Mood Workshop,2025-12-25,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,41,True,True,Thursday
Take a Break with Pawfficer Ham,2025-12-25,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,42,True,False,Thursday
Student Org Expo: Spring 2026 Event Reservations,2025-12-25,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,43,True,False,Thursday
Library extended hours in December,2025-12-25,12:00 pm - 5:00 pm,UIC Daley Library,Special event,"A special event event at UIC. Keywords: library, study, academic, hours","['library', 'study', 'academic', 'hours']",synthetic,44,True,False,Thursday
Hot Chocolate with the Chancellor,2025-12-30,12:30 pm - 1:30 pm,Student Center East,Special event,"A special event event at UIC. Keywords: social, networking, chancellor, student","['social', 'networking', 'chancellor', 'student']",synthetic,45,True,False,Tuesday
Digital Accessibility Training,2025-12-30,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,46,True,True,Tuesday
CRI Public Research Series: Medical Cannabis Competency Framework,2025-12-30,12:00 pm - 1:00 pm,Online,Lecture,"A lecture event at UIC. Keywords: research, medical, public health, presentation","['research', 'medical', 'public health', 'presentation']",synthetic,47,True,True,Tuesday
Digital Accessibility Training,2025-12-31,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,48,True,True,Wednesday
Online Managing Your Mood Workshop,2025-12-31,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,49,True,True,Wednesday
Take a Break with Pawfficer Ham,2025-12-31,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,50,True,False,Wednesday
Student Org Expo: Spring 2026 Event Reservations,2025-12-31,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,51,True,False,Wednesday
